,id,created_at,text
55,1462941268644810758,2021-11-23T00:29:13.000Z,"@usehead_heart @NML_Canada @randyhillier @Twitter @TwitterSafety @JohnTory @tdsb Did you even read it?!From the article: Long-COVID symptoms include fatigue, headache, difficulty concentrating and insomnia. Other pandemic-related phenomena, such as school closures and lockdowns may be to blame.    I think I hear someone calling you for your booster shot. Bye!"
56,1462941135756660743,2021-11-23T00:28:41.000Z,"@PeterSweden7 My friends in Canada advocate for whatever measures necessary because our health care system has been overwhelmed with COVID patients on multiple occasions. My response is to strengthen the system, invest as much as possible. They roll their eyes."
57,1462941035441451011,2021-11-23T00:28:17.000Z,"PSA: @DougSaunders says #Canadian's right to control their bodies and determine their health is a ""problem to be solved"". Doug, hows #Canada doin w/ this 90%vax policy? Covid solved yet? Europe had enough of it in 1945 #vaccinenazi #MedicalApartheid  https://t.co/SYu4Dr8GaV"
58,1462940618125152256,2021-11-23T00:26:38.000Z,"Will there be enough paediatric doses to ensure my child can receive one?  Yes. Thousands of doses of the paediatric vaccine arrived in Canada on Sunday, with nearly three million doses expected to be delivered by week’s end. https://t.co/hhJNIHvcfg"
59,1462940530950746118,2021-11-23T00:26:17.000Z,"In Canada, Australia and the Netherlands, if you have #COVID19 symptoms or are quarantining or isolating, you can take care of your pets at home and avoid close contact with them.https://t.co/aFg7r8VDFZ https://t.co/yhu2lplfNe https://t.co/sNkCiQyV43"
60,1462940308568690694,2021-11-23T00:25:24.000Z,Canada ends COVID-19 policy turning back asylum-seekers between border crossings https://t.co/zhNfu52ICk https://t.co/y0eAVMYirF
61,1462940242063892483,2021-11-23T00:25:08.000Z,"Alberta reports 1,125 new cases of COVID-19 over 3 days, 6 new deaths https://t.co/FfDZFfoj0v https://t.co/JvD32ZOvL5"
62,1462939981081722881,2021-11-23T00:24:06.000Z,"@Twiffler @BernieSpofforth @joerogan A young infected woman returned to NT, but lied on her border entry form.  The indigenous people of the area agree with this approach, with vulnerable people in the population, and low vaccination rate.  We had a similar situation in northern Canada.  https://t.co/mxCkFuAsRr"
63,1462939777850920961,2021-11-23T00:23:17.000Z,"""Soon, fully vaccinated Canadians returning home from international trips of 72 hours or less won’t have to show proof of a negative COVID-19 PCR test.""  https://t.co/AcJWApzaRr"
64,1462939543116521480,2021-11-23T00:22:21.000Z,@CawthornforNC Why does NC have more than double the per capita COVID death rate of Canada? Any ideas? …crickets?…🙄
